epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.1232,1.56618,3.25086,1.15661,0.70707,0.33781,0.39028,0.24811,1.29767,1.64461,1.06558,0.000121546,0.000121546,0.000121546
2,29.3663,1.3241,1.41848,1.06053,0.79857,0.55471,0.63684,0.41674,1.21933,1.05095,1.03929,0.000241849,0.000241849,0.000241849
3,43.3434,1.28359,1.08889,1.03537,0.86693,0.68304,0.75388,0.49957,1.14428,0.90801,1.01761,0.000359099,0.000359099,0.000359099
4,56.6229,1.24349,0.92549,1.01236,0.89395,0.74197,0.77801,0.51491,1.17356,0.80868,1.01337,0.000356264,0.000356264,0.000356264
5,68.4726,1.21519,0.80776,1.00055,0.94127,0.76256,0.82938,0.56543,1.11792,0.68055,0.99138,0.000351685,0.000351685,0.000351685
6,80.0317,1.17173,0.75498,0.99096,0.94981,0.78838,0.85775,0.5897,1.09265,0.64803,0.98242,0.000347106,0.000347106,0.000347106
7,92.3398,1.16214,0.71765,0.9901,0.94742,0.80418,0.87861,0.60665,1.0613,0.60823,0.97545,0.000342528,0.000342528,0.000342528
8,104.805,1.13963,0.66972,0.97462,0.93877,0.85431,0.94243,0.67015,1.04404,0.58976,0.96377,0.000337949,0.000337949,0.000337949
9,116.973,1.1379,0.65636,0.97355,0.912,0.87922,0.93118,0.62762,1.16868,0.64391,1.01106,0.00033337,0.00033337,0.00033337
10,129.35,1.10758,0.63968,0.97517,0.92462,0.91023,0.94856,0.66584,1.03721,0.56245,0.96159,0.000328791,0.000328791,0.000328791
11,141.368,1.09201,0.61234,0.96572,0.97262,0.90929,0.94539,0.67421,1.01602,0.53767,0.95328,0.000324212,0.000324212,0.000324212
12,153.361,1.10137,0.60659,0.96484,0.95031,0.91613,0.93836,0.63689,1.15014,0.5916,0.99618,0.000319634,0.000319634,0.000319634
13,165.482,1.09003,0.59327,0.96306,0.9778,0.91036,0.94222,0.68494,0.9816,0.51513,0.94607,0.000315055,0.000315055,0.000315055
14,177.119,1.09245,0.60159,0.96114,0.95867,0.91652,0.956,0.67265,1.06285,0.55518,0.96369,0.000310476,0.000310476,0.000310476
15,188.619,1.05767,0.5739,0.95306,0.90063,0.98198,0.95996,0.70023,0.97907,0.50735,0.94116,0.000305897,0.000305897,0.000305897
16,204.51,1.06603,0.5684,0.96034,0.97441,0.91752,0.96265,0.69947,1.00662,0.5061,0.949,0.000301319,0.000301319,0.000301319
17,222.431,1.03632,0.55553,0.94622,0.96734,0.93525,0.98493,0.72526,0.96913,0.49128,0.93555,0.00029674,0.00029674,0.00029674
18,235.442,1.04029,0.55498,0.94903,0.96972,0.92167,0.98577,0.71371,1.00386,0.49956,0.94869,0.000292161,0.000292161,0.000292161
19,248.651,1.03864,0.53925,0.93958,0.96752,0.93188,0.98573,0.73233,0.97817,0.48879,0.93819,0.000287582,0.000287582,0.000287582
20,261.265,1.03597,0.54747,0.94709,0.97191,0.92683,0.9866,0.73394,0.9562,0.4751,0.93003,0.000283004,0.000283004,0.000283004
21,274.15,1.02851,0.55272,0.94004,0.95619,0.92229,0.96317,0.69952,0.96666,0.48903,0.93302,0.000278425,0.000278425,0.000278425
22,289.482,1.02902,0.53843,0.93489,0.88949,0.98574,0.96332,0.71619,0.96498,0.48657,0.93201,0.000273846,0.000273846,0.000273846
23,305.243,1.01839,0.53298,0.94222,0.96834,0.92716,0.98831,0.73282,0.95919,0.47855,0.93268,0.000269268,0.000269268,0.000269268
24,320.353,1.00103,0.52474,0.93265,0.97626,0.9318,0.98617,0.73756,0.95797,0.47222,0.93169,0.000264689,0.000264689,0.000264689
25,336.015,1.01579,0.52425,0.93178,0.9782,0.92686,0.9879,0.74772,0.93704,0.46483,0.92356,0.00026011,0.00026011,0.00026011
26,352.99,0.99802,0.52272,0.93489,0.97153,0.93165,0.98955,0.73366,0.93487,0.4654,0.92245,0.000255531,0.000255531,0.000255531
27,368.308,0.99294,0.50664,0.92891,0.97,0.92447,0.98872,0.73481,0.94672,0.46581,0.92324,0.000250952,0.000250952,0.000250952
28,382.466,0.99719,0.51002,0.932,0.93703,0.98912,0.98893,0.72545,0.94284,0.46012,0.92467,0.000246374,0.000246374,0.000246374
29,396.646,0.98257,0.50425,0.93219,0.97744,0.93349,0.9886,0.73901,0.92488,0.45351,0.9203,0.000241795,0.000241795,0.000241795
30,410.97,0.96982,0.50531,0.9292,0.90797,0.99182,0.99055,0.75729,0.89629,0.43666,0.91058,0.000237216,0.000237216,0.000237216
31,425.271,0.96538,0.49382,0.9219,0.94481,0.9877,0.98939,0.75096,0.92246,0.45212,0.91871,0.000232638,0.000232638,0.000232638
32,439.512,0.96451,0.48588,0.92228,0.96309,0.98599,0.98961,0.74311,0.89291,0.43846,0.91067,0.000228059,0.000228059,0.000228059
33,453.62,0.94668,0.48912,0.91962,0.96518,0.98649,0.99025,0.75684,0.91329,0.44134,0.91572,0.00022348,0.00022348,0.00022348
34,467.758,0.94989,0.48785,0.91869,0.95791,0.98898,0.99057,0.75655,0.87736,0.42663,0.90724,0.000218901,0.000218901,0.000218901
35,482.657,0.94942,0.48504,0.92393,0.92306,0.99428,0.99109,0.75638,0.90346,0.43715,0.91406,0.000214322,0.000214322,0.000214322
36,496.886,0.94088,0.47565,0.92246,0.97828,0.93689,0.99138,0.7484,0.88787,0.42567,0.909,0.000209744,0.000209744,0.000209744
37,510.941,0.93509,0.47803,0.91462,0.97332,0.93352,0.99071,0.74344,0.9505,0.45219,0.92715,0.000205165,0.000205165,0.000205165
38,525.369,0.94127,0.47651,0.92034,0.97672,0.93558,0.991,0.74602,0.9108,0.43534,0.91732,0.000200586,0.000200586,0.000200586
39,539.718,0.93434,0.47032,0.91361,0.89649,0.9949,0.99137,0.76463,0.86315,0.41873,0.90159,0.000196008,0.000196008,0.000196008
40,554.035,0.91936,0.45814,0.9159,0.93539,0.9907,0.98987,0.7638,0.87663,0.41764,0.90606,0.000191429,0.000191429,0.000191429
41,568.215,0.92066,0.46804,0.91026,0.95245,0.9914,0.98974,0.76434,0.87189,0.41955,0.90335,0.00018685,0.00018685,0.00018685
42,582.392,0.90738,0.46379,0.9135,0.93598,0.99112,0.99105,0.76139,0.87761,0.42235,0.90786,0.000182271,0.000182271,0.000182271
43,596.773,0.90843,0.46034,0.91041,0.90827,0.9939,0.99017,0.7554,0.86216,0.41187,0.90246,0.000177692,0.000177692,0.000177692
44,611.034,0.89499,0.45231,0.9028,0.90052,0.99352,0.99077,0.76564,0.85469,0.41084,0.8968,0.000173114,0.000173114,0.000173114
45,625.339,0.90335,0.45308,0.90299,0.95127,0.99206,0.99178,0.76562,0.84484,0.40363,0.89858,0.000168535,0.000168535,0.000168535
